matrix_size,num_processes,time_taken
100,2,.341706838
1100,2,8.142213214
2100,2,65.857910006
3100,2,188.323111018
4100,2,87.491107270
5100,2,.527915099
6100,2,.061049156
7100,2,.059532934
8100,2,.063502854
9100,2,.049835066
